corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
kalamang	keluer	0001	#	#	##	##				
kalamang	keluer	0001	nene	grandmother	np.h:predex	np	h	predex	201	new
kalamang	keluer	0001	kon	one	rn	rn				
kalamang	keluer	0001	=bon	=COM	=rn	=rn				
kalamang	keluer	0001	tumtum	child	rn_np.h	rn_np	h		202	new
kalamang	keluer	0001	-un	-3POSS	-rn_pro.h:poss	-rn_pro	h	poss	201	
kalamang	keluer	0001	eir	two	rn	rn				
kalamang	keluer	0001	=bon	=COM	=rn	=rn				
kalamang	keluer	0002	#	#	##	##				
kalamang	keluer	0002	kon	one	other.h:s	other	h	s	203	bridging
kalamang	keluer	0002	mang	Mang	pn_np.h:obl	pn_np	h	obl	204	new
kalamang	keluer	0002	=bon	=COM	=rn	=rn				
kalamang	keluer	0002	miarip	DIST.QNT	other:pred	other		pred		
kalamang	keluer	0003	#	#	##	##				
kalamang	keluer	0003	eh	FIL	other	other				
kalamang	keluer	0003	kon	one	other.h:s	other	h	s	203	
kalamang	keluer	0003	rehan	Rehan	pn_np.h:obl	pn_np	h	obl	205	new
kalamang	keluer	0003	=bon	=COM	=rn	=rn				
kalamang	keluer	0003	miarip	DIST.QNT	other:pred	other		pred		
kalamang	keluer	0003	#	#	##	##				
kalamang	keluer	0003	kon	one	other.h:s	other	h	s	206	bridging
kalamang	keluer	0003	se	IAM	other	other				
kalamang	keluer	0003	temun	big	v:pred	v		pred		
kalamang	keluer	0003	#	#	##	##				
kalamang	keluer	0003	kon	one	other.h:s	other	h	s	206	
kalamang	keluer	0003	mungkin	maybe	other	other				
kalamang	keluer	0004	randa	Randa	pn_np.h:obl	pn_np	h	obl	207	new
kalamang	keluer	0004	miarip	DIST.QNT	other:pred	other		pred		
kalamang	keluer	0004	ye	or	other	other				
kalamang	keluer	0005	#	#	##	##				
kalamang	keluer	0005	ah	INT	other	other				
kalamang	keluer	0006	mera	then	other	other				
kalamang	keluer	0007	ema	mother	np.h:s	np	h	s	201	
kalamang	keluer	0007	-un	-3POSS	-rn_pro.h:poss	-rn_pro	h	poss	202	
kalamang	keluer	0007	se	IAM	other	other				
kalamang	keluer	0007	bo	go	lv	lv				
kalamang	keluer	0007	masu	fish_with_light	v:pred	v		pred		
kalamang	keluer	0008	#	#	##	##				
kalamang	keluer	0008	mier	3DU	pro.h:s	pro	h	s	202	
kalamang	keluer	0008	kewe	house	np:pred_l	np		pred_l	208	new
kalamang	keluer	0008	=ko	=LOC	=rn	=rn				
kalamang	keluer	0008	#	#	##	##				
kalamang	keluer	0008	ema	mother	np.h:s	np	h	s	201	
kalamang	keluer	0008	-un	-3POSS	-rn_pro.h:poss	-rn_pro	h	poss	202	
kalamang	keluer	0008	bo	go	lv	lv				
kalamang	keluer	0008	masu	fish_with_light	v:pred	v		pred		
kalamang	keluer	0008	#	#	##	##				
kalamang	keluer	0008	ema	mother	np.h:s	np	h	s	201	
kalamang	keluer	0008	-un	-3POSS	-rn_pro.h:poss	-rn_pro	h	poss	202	
kalamang	keluer	0008	bo	go	lv	lv				
kalamang	keluer	0008	masu	fish_with_light	v:pred	v		pred		
kalamang	keluer	0008	masu	fish_with_light	nc	nc				
