corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
kalamang	kuawi	0001	#	#	##	##				
kalamang	kuawi	0001	sekarang	now	other	other				
kalamang	kuawi	0001	mu	3PL	pro.h:s	pro	h	s	301	new
kalamang	kuawi	0001	kome-ra	look-NFIN	v:pred	v		pred		
kalamang	kuawi	0001	#	#	#nc	#nc				
kalamang	kuawi	0001	mu	3PL	nc_pro.h	nc_pro	h		301	
kalamang	kuawi	0001	kuawi	north	nc	nc				
kalamang	kuawi	0001	ur kierun	cloud	nc_np	nc_np			302	new
kalamang	kuawi	0001	opa	ANA	nc	nc				
kalamang	kuawi	0001	me	TOP	nc	nc				
kalamang	kuawi	0001	#	#	##	##				
kalamang	kuawi	0001	kuawi	north	np:s	np		s	302	
kalamang	kuawi	0001	marua	move_towards_sea	v:pred	v		pred		
kalamang	kuawi	0002	#	#	#nc	#nc				
kalamang	kuawi	0002	jadi	so	other	other				
kalamang	kuawi	0002	kuawi	north	nc_np	nc_np			302	
kalamang	kuawi	0002	kierun	cloud	nc	nc				
kalamang	kuawi	0002	go git	it_is_cloudy	nc	nc				
kalamang	kuawi	0002	se	IAM	nc	nc				
kalamang	kuawi	0002	bo-re	go-NFIN	nc	nc				
kalamang	kuawi	0002	#	#	##	##				
kalamang	kuawi	0002	ma	3SG	pro:s	pro		s	302	
kalamang	kuawi	0002	he	IAM	other	other				
kalamang	kuawi	0002	elak-ar	bottom-OBJ	np:g	np		g	303	new
kalamang	kuawi	0002	=a	=FOC	=rn	=rn				
kalamang	kuawi	0002	bo-t	go-T	v:pred	v		pred		
kalamang	kuawi	0002	jadi	so	other	other				
kalamang	kuawi	0003	#	#	#nc	#nc				
kalamang	kuawi	0003	gogin	NC	nc	nc				
kalamang	kuawi	0003	temgerun	mountaintop	nc_np	nc_np			304	new
kalamang	kuawi	0004	#	#	#nc	#nc				
kalamang	kuawi	0004	ma	3SG	nc	nc				
kalamang	kuawi	0004	gogin	NC	nc	nc				
kalamang	kuawi	0004	temgerun	mountaintop	nc_np	nc_np			304	
kalamang	kuawi	0004	#	#	##	##				
kalamang	kuawi	0004	ma	3SG	pro:s	pro		s	302	
kalamang	kuawi	0004	bo	go	lv	lv				
kalamang	kuawi	0004	ZERO	ZERO	0:l	0		l	304	
kalamang	kuawi	0004	kies	block	v:pred	v		pred		
