corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
kalamang	pitiskiet	0001	#	#	#	#				
kalamang	pitiskiet	0001	oke	ok	other	other				
kalamang	pitiskiet	0002	#	#	#nc	#nc				
kalamang	pitiskiet	0002	ana--	NC	nc	nc				
kalamang	pitiskiet	0003	#	#	##	##				
kalamang	pitiskiet	0003	anak	child	np.h:s	np	h	s	501	new
kalamang	pitiskiet	0003	ratu	queen	rn_np.h	rn_np	h			
kalamang	pitiskiet	0003	makan	eat	v:pred	v		pred		
kalamang	pitiskiet	0003	besarkan	big	other	other				
kalamang	pitiskiet	0004	#	#	##	##				
kalamang	pitiskiet	0004	ema	mother	np.h:a	np	h	a	502	bridging
kalamang	pitiskiet	0004	-un	-3POSS	-rn_pro.h:poss	-rn_pro	h	poss	501	
kalamang	pitiskiet	0004	jualan	selling_goods	np:p	np		p	503	new
kalamang	pitiskiet	0004	=at	=OBJ	=rn	=rn				
kalamang	pitiskiet	0004	paruo	make	v:pred	v		pred		
kalamang	pitiskiet	0005	#	#	##	##				
kalamang	pitiskiet	0005	ema	mother	np.h:s_ds	np	h	s_ds	502	
kalamang	pitiskiet	0005	-un	-3POSS	-rn_pro.h:poss	-rn_pro	h	poss	501	
kalamang	pitiskiet	0005	toni	say	v:pred	v		pred		
kalamang	pitiskiet	0006	#	#	##ds	##ds				
kalamang	pitiskiet	0006	an	1SG	pro.1:a	pro	1	a	502	
kalamang	pitiskiet	0006	jualan	selling_goods	np:p	np		p	503	
kalamang	pitiskiet	0006	=at	=OBJ	=rn	=rn				
kalamang	pitiskiet	0006	paruo	make	v:pred	v		pred		
kalamang	pitiskiet	0006	#	#	##ds	##ds				
kalamang	pitiskiet	0006	bo	go	nc	nc				
kalamang	pitiskiet	0006	ka	2SG	pro.2:a	pro	2	a	501	
kalamang	pitiskiet	0006	bo	go	lv	lv				
kalamang	pitiskiet	0006	ZERO	ZERO	0:p	0		p	503	
kalamang	pitiskiet	0006	parin-de	sell-IMP	v:pred	v		pred		
kalamang	pitiskiet	0007	#	#	##ds	##ds				
kalamang	pitiskiet	0007	yo	yes	other	other				
kalamang	pitiskiet	0007	ema	mother	np.h:voc	np	h	voc	502	
kalamang	pitiskiet	0008	ZERO	ZERO	0.2:a	0	2	a	502	
kalamang	pitiskiet	0008	ZERO	ZERO	0:p	0		p	503	
kalamang	pitiskiet	0008	paruo	make	v:pred	v		pred		
kalamang	pitiskiet	0008	ba	then	other	other				
kalamang	pitiskiet	0008	#	#	##ds	##ds				
kalamang	pitiskiet	0008	kasur	tomorrow	other	other				
kalamang	pitiskiet	0008	an	1SG	pro.1:a	pro	1	a	501	
kalamang	pitiskiet	0008	bo	go	lv	lv				
kalamang	pitiskiet	0008	ZERO	ZERO	0:p	0		p	503	
kalamang	pitiskiet	0008	parin-de	sell-NFIN	v:pred	v		pred		
kalamang	pitiskiet	0009	#	#	##	##				
