corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
kalamang	yardakdak	0001	#	#	#nc	#nc				
kalamang	yardakdak	0001	mier	3DU	nc_pro.h	nc_pro	h		601	new
kalamang	yardakdak	0001	bo-re	go-NFIN	nc	nc				
kalamang	yardakdak	0001	kelak	mountain	nc	nc				
kalamang	yardakdak	0001	=ka	=LAT	nc	nc				
kalamang	yardakdak	0001	#	#	##	##				
kalamang	yardakdak	0001	mier	3DU	pro.h:s	pro	h	s	601	
kalamang	yardakdak	0001	kelak	mountain	np:obl	np		obl		
kalamang	yardakdak	0001	=ka	=LAT	=rn	=rn				
kalamang	yardakdak	0001	marmar	walk	lv	lv				
kalamang	yardakdak	0001	bara	descend	v:pred	v		pred		
kalamang	yardakdak	0001	oskeit	on/at_beach	np:g	np		g		
kalamang	yardakdak	0001	=ko	=LOC	=rn	=rn				
kalamang	yardakdak	0001	#	#	##	##				
kalamang	yardakdak	0001	ZERO	ZERO	0.h:a	0	h	a	601	
kalamang	yardakdak	0001	war	coconut	np:p	np		p	602	new
kalamang	yardakdak	0001	=at	=OBJ	=rn	=rn				
kalamang	yardakdak	0001	sara-n	climb-N	lv	lv				
kalamang	yardakdak	0001	=i	=PLNK	=lv	=lv				
kalamang	yardakdak	0001	koyet	finish	v:pred	v		pred		
kalamang	yardakdak	0002	#	#	##	##				
kalamang	yardakdak	0002	war	coconut	np:p	np		p	603	bridging
kalamang	yardakdak	0002	-un	-3POSS	-rn_pro.h:poss	-rn_pro	h	poss	601	
kalamang	yardakdak	0002	=at	=OBJ	=rn	=rn				
kalamang	yardakdak	0002	ma	3SG	pro.h:a	pro	h	a	604	bridging
kalamang	yardakdak	0002	di=	CAUS=	=lv	=lv				
kalamang	yardakdak	0002	bara	descend	lv	lv				
kalamang	yardakdak	0002	kiem	basket	np:l	np		l	605	new
kalamang	yardakdak	0002	neko	inside	other:pred	other		pred		
kalamang	yardakdak	0003	#	#	##	##				
kalamang	yardakdak	0003	ZERO	ZERO	0.h:a	0	h	a	604	
kalamang	yardakdak	0003	ZERO	ZERO	0:p	0		p	603	
kalamang	yardakdak	0003	kiem	basket	np:l	np		l	605	
kalamang	yardakdak	0003	neko-ra	inside-NFIN	other:pred	other		pred		
kalamang	yardakdak	0003	#	#	##	##				
kalamang	yardakdak	0003	mier	3DU	pro.h:s	pro	h	s	601	
kalamang	yardakdak	0003	se	IAM	other	other				
kalamang	yardakdak	0003	ecie-n	return-N	lv	lv				
kalamang	yardakdak	0003	=i	=PLNK	=lv	=lv				
kalamang	yardakdak	0003	kelak	mountain	lv	lv				
kalamang	yardakdak	0003	=ka	=LAT	=lv	=lv				
kalamang	yardakdak	0003	toni	want	lv	lv				
kalamang	yardakdak	0003	bo-t	go-T	v:pred	v		pred		
kalamang	yardakdak	0003	=kin	=VOL	=rv	=rv				
kalamang	yardakdak	0003	tapi	but	other	other				
kalamang	yardakdak	0003	#	#	##	##				
kalamang	yardakdak	0003	mu	3PL	pro.h:s	pro	h	s	601	
kalamang	yardakdak	0003	tok	first	other	other				
kalamang	yardakdak	0004	elao	under	np:l	np		l		
kalamang	yardakdak	0004	marmar	walk	v:pred	v		pred		
kalamang	yardakdak	0004	kariemun-rimun	cape-RED	np:other	np		other	606	bridging
kalamang	yardakdak	0005	#	#	##	##				
kalamang	yardakdak	0005	mier	3DU	pro.h:s	pro	h	s	601	
kalamang	yardakdak	0005	marmar	walk	v:pred	v		pred		
kalamang	yardakdak	0005	marmar	walk	rv	rv				
kalamang	yardakdak	0005	marmar	walk	rv	rv				
