ID,Source_Referent_ID,Target_Referent_ID,Relation
1,102,101,>
2,103,102,<
3,104,102,<
4,111,103,M
5,112,103,M
6,112,107,M
7,203,202,<
8,206,202,<
9,212,210,M
10,215,201,M
11,220,202,>
12,220,219,>
13,221,214,M
14,307,301,<
15,311,301,<
16,314,301,<
17,315,307,>
18,315,311,>
19,315,314,>
20,316,306,<
21,317,312,<
22,318,312,<
23,319,306,<
24,320,307,>
25,320,314,>
26,321,304,<
27,324,307,<
28,327,326,<
29,328,307,>
30,328,314,>
31,328,326,>
32,331,323,<
33,334,325,<
34,335,325,<
35,336,325,<
36,340,333,<
37,342,340,M
38,343,326,<
39,344,333,<
40,345,333,<
41,346,345,M
42,347,345,M
43,348,333,<
44,349,333,<
45,350,333,<
46,351,350,M
47,352,350,M
48,353,333,M
49,354,333,M
50,403,401,>
51,403,402,>
52,413,410,M
53,415,407,M
54,416,407,M
55,420,419,<
56,423,421,M
57,424,412,>
58,424,419,>
59,424,422,>
60,425,410,>
61,425,418,>
62,425,421,>
63,430,428,M
64,431,429,<
65,432,402,M
66,433,402,M
67,434,401,M
68,436,401,M
69,441,440,<
70,442,401,M
71,444,402,M
72,447,402,M
73,454,411,M
74,458,401,M
75,459,401,M
76,461,401,M
77,463,401,M
78,464,401,M
79,465,401,M
80,466,401,M
81,467,401,M
82,468,401,M
83,469,401,M
84,471,422,<
85,508,501,M
86,527,501,>
87,527,502,>
88,528,502,>
89,530,528,<
90,531,501,>
91,531,530,>
92,536,501,>
93,536,502,>
94,536,528,>
95,604,601,<
96,608,601,<
